OUT_EX_X,OUT_EX_Y
7.662205247078328e-09,1.194653684776031
7.676144404939221e-09,1.197328700339573
7.692434174291375e-09,1.198908276834633
7.706780179528228e-09,1.199538802588294
7.729931910651375e-09,1.199951853758227
7.756693627703254e-09,1.200065222387489
7.793817818393699e-09,1.200058183076726
7.853122256380651e-09,1.200016700611122
7.952874541892532e-09,1.199991867745497
8.102874541892532e-09,1.199989673344486
8.252874541892532e-09,1.199991951170904
8.402874541892531e-09,1.199992673833184
8.552874541892531e-09,1.199992713004892
8.702874541892531e-09,1.199992676827667
8.85287454189253e-09,1.199992665073993
9.00287454189253e-09,1.199992664381261
9.15287454189253e-09,1.199992664955439
9.302874541892529e-09,1.199992665146525
9.452874541892529e-09,1.19999266515868
9.602874541892529e-09,1.199992665149574
9.752874541892528e-09,1.199992665146469
9.876437270946264e-09,1.199992665146282
1e-08,1.1999926651464
1.000125e-08,1.204981381949083
1.00022762411431e-08,1.208912322812736
1.00043287234293e-08,1.211907614262528
1.000577937446239e-08,1.206674407425429
1.000710419834334e-08,1.194316178677528
1.000855568700692e-08,1.170927604916073
1.001e-08,1.137973252241051
1.001012982423626e-08,1.134188607686494
1.001026936456704e-08,1.130122945244466
1.001048238425321e-08,1.123922603093344
1.001090842362553e-08,1.111546351930702
1.001176050237018e-08,1.086894330525847
1.001346465985948e-08,1.038003794362128
1.001687297483808e-08,0.9419564393010059
1.002368960479528e-08,0.7574184159695999
1.003218352529387e-08,0.5436762826319294
1.003724750507261e-08,0.4266043173121488
1.004252991873698e-08,0.31689790260961
1.004668971557046e-08,0.2426396180574317
1.005072151322174e-08,0.1826254847653033
1.0055431999249e-08,0.1274690524770362
1.006130097182702e-08,0.07836089725736731
1.006591478037043e-08,0.05221370896918878
1.007026377615661e-08,0.03515888450156639
1.007474128025487e-08,0.02315667277727104
1.007946692067898e-08,0.01474585835273224
1.00846162629661e-08,0.008898610376617903
1.009038827060299e-08,0.004947444227443408
1.009700328645154e-08,0.002425900055159896
1.010476269721393e-08,0.0009546540344365817
1.011411038466414e-08,0.0002110584676800198
